pair_id,variant,actual_person,candidate_person,is_correct,subject,prefix_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids
pilot_gitmek_simdiki_2s,overt,2s,1s,False,Sen,Sen her gün okula ,gidiyorsun,gidiyorum,Sen her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Sen |  her |  gün |  okula |  gidiyorum,5425 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_2s,overt,2s,2s,True,Sen,Sen her gün okula ,gidiyorsun,gidiyorsun,Sen her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,Sen |  her |  gün |  okula |  gidiyor | sun,5425 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_2s,overt,2s,3s,False,Sen,Sen her gün okula ,gidiyorsun,gidiyor,Sen her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,Sen |  her |  gün |  okula |  gidiyor,5425 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_2s,overt,2s,1p,False,Sen,Sen her gün okula ,gidiyorsun,gidiyoruz,Sen her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,Sen |  her |  gün |  okula |  gidiyoruz,5425 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_2s,overt,2s,2p,False,Sen,Sen her gün okula ,gidiyorsun,gidiyorsunuz,Sen her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,Sen |  her |  gün |  okula |  gidiyor | sunuz,5425 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_2s,overt,2s,3p,False,Sen,Sen her gün okula ,gidiyorsun,gidiyorlar,Sen her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,Sen |  her |  gün |  okula |  gidiyorlar,5425 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_2s,prodrop,2s,1s,False,,Her gün okula ,gidiyorsun,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_2s,prodrop,2s,2s,True,,Her gün okula ,gidiyorsun,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_2s,prodrop,2s,3s,False,,Her gün okula ,gidiyorsun,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_2s,prodrop,2s,1p,False,,Her gün okula ,gidiyorsun,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_2s,prodrop,2s,2p,False,,Her gün okula ,gidiyorsun,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_2s,prodrop,2s,3p,False,,Her gün okula ,gidiyorsun,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
pilot_gitmek_simdiki_3s,overt,3s,1s,False,O,O her gün okula ,gidiyor,gidiyorum,O her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,O |  her |  gün |  okula |  gidiyorum,47 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_3s,overt,3s,2s,False,O,O her gün okula ,gidiyor,gidiyorsun,O her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,O |  her |  gün |  okula |  gidiyor | sun,47 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_3s,overt,3s,3s,True,O,O her gün okula ,gidiyor,gidiyor,O her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,O |  her |  gün |  okula |  gidiyor,47 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_3s,overt,3s,1p,False,O,O her gün okula ,gidiyor,gidiyoruz,O her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,O |  her |  gün |  okula |  gidiyoruz,47 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_3s,overt,3s,2p,False,O,O her gün okula ,gidiyor,gidiyorsunuz,O her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,O |  her |  gün |  okula |  gidiyor | sunuz,47 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_3s,overt,3s,3p,False,O,O her gün okula ,gidiyor,gidiyorlar,O her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,O |  her |  gün |  okula |  gidiyorlar,47 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_3s,prodrop,3s,1s,False,,Her gün okula ,gidiyor,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_3s,prodrop,3s,2s,False,,Her gün okula ,gidiyor,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_3s,prodrop,3s,3s,True,,Her gün okula ,gidiyor,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_3s,prodrop,3s,1p,False,,Her gün okula ,gidiyor,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_3s,prodrop,3s,2p,False,,Her gün okula ,gidiyor,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_3s,prodrop,3s,3p,False,,Her gün okula ,gidiyor,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
pilot_gitmek_simdiki_1p,overt,1p,1s,False,Biz,Biz her gün okula ,gidiyoruz,gidiyorum,Biz her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Biz |  her |  gün |  okula |  gidiyorum,3722 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_1p,overt,1p,2s,False,Biz,Biz her gün okula ,gidiyoruz,gidiyorsun,Biz her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,Biz |  her |  gün |  okula |  gidiyor | sun,3722 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_1p,overt,1p,3s,False,Biz,Biz her gün okula ,gidiyoruz,gidiyor,Biz her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,Biz |  her |  gün |  okula |  gidiyor,3722 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_1p,overt,1p,1p,True,Biz,Biz her gün okula ,gidiyoruz,gidiyoruz,Biz her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,Biz |  her |  gün |  okula |  gidiyoruz,3722 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_1p,overt,1p,2p,False,Biz,Biz her gün okula ,gidiyoruz,gidiyorsunuz,Biz her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,Biz |  her |  gün |  okula |  gidiyor | sunuz,3722 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_1p,overt,1p,3p,False,Biz,Biz her gün okula ,gidiyoruz,gidiyorlar,Biz her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,Biz |  her |  gün |  okula |  gidiyorlar,3722 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_1p,prodrop,1p,1s,False,,Her gün okula ,gidiyoruz,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_1p,prodrop,1p,2s,False,,Her gün okula ,gidiyoruz,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_1p,prodrop,1p,3s,False,,Her gün okula ,gidiyoruz,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_1p,prodrop,1p,1p,True,,Her gün okula ,gidiyoruz,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_1p,prodrop,1p,2p,False,,Her gün okula ,gidiyoruz,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_1p,prodrop,1p,3p,False,,Her gün okula ,gidiyoruz,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
pilot_gitmek_simdiki_2p,overt,2p,1s,False,Siz,Siz her gün okula ,gidiyorsunuz,gidiyorum,Siz her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Siz |  her |  gün |  okula |  gidiyorum,6050 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_2p,overt,2p,2s,False,Siz,Siz her gün okula ,gidiyorsunuz,gidiyorsun,Siz her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,Siz |  her |  gün |  okula |  gidiyor | sun,6050 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_2p,overt,2p,3s,False,Siz,Siz her gün okula ,gidiyorsunuz,gidiyor,Siz her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,Siz |  her |  gün |  okula |  gidiyor,6050 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_2p,overt,2p,1p,False,Siz,Siz her gün okula ,gidiyorsunuz,gidiyoruz,Siz her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,Siz |  her |  gün |  okula |  gidiyoruz,6050 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_2p,overt,2p,2p,True,Siz,Siz her gün okula ,gidiyorsunuz,gidiyorsunuz,Siz her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,Siz |  her |  gün |  okula |  gidiyor | sunuz,6050 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_2p,overt,2p,3p,False,Siz,Siz her gün okula ,gidiyorsunuz,gidiyorlar,Siz her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,Siz |  her |  gün |  okula |  gidiyorlar,6050 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_2p,prodrop,2p,1s,False,,Her gün okula ,gidiyorsunuz,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_2p,prodrop,2p,2s,False,,Her gün okula ,gidiyorsunuz,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_2p,prodrop,2p,3s,False,,Her gün okula ,gidiyorsunuz,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_2p,prodrop,2p,1p,False,,Her gün okula ,gidiyorsunuz,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_2p,prodrop,2p,2p,True,,Her gün okula ,gidiyorsunuz,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_2p,prodrop,2p,3p,False,,Her gün okula ,gidiyorsunuz,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
pilot_gitmek_simdiki_3p,overt,3p,1s,False,Onlar,Onlar her gün okula ,gidiyorlar,gidiyorum,Onlar her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Onlar |  her |  gün |  okula |  gidiyorum,21725 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_3p,overt,3p,2s,False,Onlar,Onlar her gün okula ,gidiyorlar,gidiyorsun,Onlar her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,Onlar |  her |  gün |  okula |  gidiyor | sun,21725 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_3p,overt,3p,3s,False,Onlar,Onlar her gün okula ,gidiyorlar,gidiyor,Onlar her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,Onlar |  her |  gün |  okula |  gidiyor,21725 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_3p,overt,3p,1p,False,Onlar,Onlar her gün okula ,gidiyorlar,gidiyoruz,Onlar her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,Onlar |  her |  gün |  okula |  gidiyoruz,21725 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_3p,overt,3p,2p,False,Onlar,Onlar her gün okula ,gidiyorlar,gidiyorsunuz,Onlar her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,Onlar |  her |  gün |  okula |  gidiyor | sunuz,21725 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_3p,overt,3p,3p,True,Onlar,Onlar her gün okula ,gidiyorlar,gidiyorlar,Onlar her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,Onlar |  her |  gün |  okula |  gidiyorlar,21725 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_3p,prodrop,3p,1s,False,,Her gün okula ,gidiyorlar,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_3p,prodrop,3p,2s,False,,Her gün okula ,gidiyorlar,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_3p,prodrop,3p,3s,False,,Her gün okula ,gidiyorlar,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_3p,prodrop,3p,1p,False,,Her gün okula ,gidiyorlar,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_3p,prodrop,3p,2p,False,,Her gün okula ,gidiyorlar,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_3p,prodrop,3p,3p,True,,Her gün okula ,gidiyorlar,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
